นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
11,0105561187111,บจ.พีราบัล จำกัด,31/10/2561," 159,662,400 ",64202,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,719  อาคารเคพีเอ็น ทาวเวอร์ ถนนพระราม 9,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,10310
12,0105561174389,บจ.เดอะ อินฟินิท ครุยเซอร์ จำกัด,9/10/2561," 100,000,000 ",56101,ภัตตาคารท่องเที่ยวในแม่น้ำเจ้าพระยา ขายอาหาร เครื่่องดื่ม สุรา ยาสูบ,180  ซอยจันทร์ 16 แยก 12,แขวงทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,10120
13,0105561183396,บจ.ทรัพย์สมบัติใหม่ จำกัด,24/10/2561," 100,000,000 ",68201,กิจกรรมของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอบแทนหรือตามสัญญาจ้าง,99/392  อาคารศรีสวัสดิ์ ชั้นที่ 6 ซอยแจ้งวัฒนะ 10 แยก 3 (เบญจมิตร),แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
14,0105561175181,บจ.เซ็นทรัล เรียลตี้ ดีเวลลอปเม้นท์ จำกัด,9/10/2561," 100,000,000 ",68102,ประกอบธุรกิจ ซื้อ จัดหา รับเช่า เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการโดยประะการอื่น,249/17  ถนนลาดพร้าว,แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
15,0105561181091,บจ.ลีวาโนวา (ไทยแลนด์) จำกัด,19/10/2561," 100,000,000 ",46441,ประกอบธุรกิจการค้าส่งสินค้าประเภทเครื่องมือทางการแพทย์ รวมทั้งชิ้นส่วนอะไหล่และสินค้าที่เกี่ยวข้องกับเครื่องมือทางการแพทย์ทุกชนิดและทุกประเภท,"4,4/5  อาคารเซนเวิลด์ ชั้น 12 ถนนราชดำริห์",แขวงปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,10330
16,0105561171541,บจ.พรหมประทานก่อสร้าง จำกัด,4/10/2561," 100,000,000 ",41002,ทำการรับเหมาก่อสร้าง ออกแบบ คำนวณ งานโยธา ฯ,587  ถนนสุทธิสารวินิจฉัย,แขวงรัชดาภิเษก,เขตดินแดง,กรุงเทพมหานคร,10400
17,0105561169679,บจ.นิฮอนอิจิ ฟู้ด (ประเทศไทย) จำกัด,1/10/2561," 80,000,000 ",10799,ประกอบกิจการแปรรูป ผลิต และจำหน่ายสินค้าประเภทอาหารสำเร็จรูป,2  อาคารจัสมิน  ห้องเลขที่ 34 ชั้นที่ 12 ซอยประสานมิตร (สุขุมวิท 23) ถนนสุขุมวิท,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
18,0105561175971,บจ.แสนสบายพร็อพเพอร์ตี้ จำกัด,10/10/2561," 50,700,000 ",68103,ให้เช่าห้องชุด,128/208  อาคารพญาไทพลาซ่า ชั้นที่ 19 ถนนพญาไท,แขวงทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,10400
19,0105561175806,บจ.เอซ โกลบอล เคม จำกัด,10/10/2561," 50,000,000 ",46691,ประกอบกิจการจำหน่ายสารเคมี และวัตถุมีพิษทุกชนิด และขนส่งการขนถ่ายสินค้าและบริการเกี่ยวกันเนื่องจากกิจการดังกล่าว,3  ถนนรุ่งประชา,แขวงบางบำหรุ,เขตบางพลัด,กรุงเทพมหานคร,10700
20,0105561176063,บจ.วณิชพลัส ดีเวลลอปเมนท์ จำกัด,10/10/2561," 50,000,000 ",68102,ประกอบกิจการค้าที่ดิน ทำการจัดสรรที่ดินและบ้านและสิ่งก่อสร้าง,109/8  ถนนสะแกงาม,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
21,0105561176331,บจ.คิง หยวน ดาร์ (ไทยแลนด์) จำกัด,11/10/2561," 50,000,000 ",46105,ประกอบกิจการ นำเข้า ส่งออก อุปกรณ์เครื่องจักร อุปกรณ์อุตสาหกรรม และอื่นๆที่เกี่ยวข้อง,799/76  ซอยลาดพร้าว 80 (จันทิมา),แขวงวังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,10310
22,0105561180176,บจ.ไชน่าทาวน์ แอสเสท จำกัด,18/10/2561," 50,000,000 ",68201,ประกอบกิจการให้คำปรึกษาเกี่ยวกับการซื้อขายอสังหาริมทรัพย์,153/3  อาคารโกลเด้น พาวิลเลียน ชั้นที่ 2  ห้องเลขที่ CD-2 ซอยมหาดเล็กหลวง 1 ถนนราชดำริห์,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
23,0105561181962,บจ.ซันเรท เพย์ จำกัด,19/10/2561," 50,000,000 ",66192,ประกอบกิจการให้บริการชำระเงินในด้านการให้บริการรับชำระเงินด้วยวิธีทางอิเล็กทรอนิกส์,990 ชั้น 14 ห้อง 1401  อาคารอับดุลราฮิม เพลส ถนนพระราม 4,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
24,0105561169512,บจ.ฟาร์มแฟคทอรี เวิร์ล จำกัด,1/10/2561," 45,000,000 ",56101,ประกอบกิจการภัตตาคาร ร้านอาหาร ผลิต นำเข้าจำหน่าย และอาหารทุกชนิด,313  อาคารซี.พี.ทาวเวอร์ ถนนสีลม,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
25,0105561182489,บจ.บิซิเนส คอนซัลแทนส์ เซาท์ อีสท์ เอเชีย จำกัด,22/10/2561," 44,000,000 ",70209,กิจกรรมการให้คำปรึกษาด้านการบริหารจัดการ,540  อาคารเมอร์คิวรี่ทาวเวอร์ ชั้นที่ 11 ถนนเพลินจิต,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
26,0105561173102,บจ.จี พลัส พร็อพเพอร์ตี้ จำกัด,5/10/2561," 30,000,000 ",68102,การซื้อ ขายอสังหาริมทรัพย์,3  ซอยนวมินทร์ 111 แยก 12,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
27,0105561176845,บจ.ซิลิคอน มารีน่า จำกัด,11/10/2561," 30,000,000 ",68102,ประกอบกิจการให้บริการธุรกิจเกี่ยวอสังหาริมทรัพย์และที่ดิน,2539  ซอยลาดพร้าว 81-83 ถนนลาดพร้าว,แขวงคลองเจ้าคุณสิงห์,เขตวังทองหลาง,กรุงเทพมหานคร,10310
28,0105561175121,บจ.ไบโอชูท (ไทยแลนด์) จำกัด,9/10/2561," 30,000,000 ",21001,การผลิตเภสัชภัณฑ์และเคมีภัณฑ์ที่ใช้รักษาโรค,57  อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 18 ยูนิต 1802 ถนนวิทยุ,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
29,0105561170251,บจ.มาร์เวล แลนด์ จำกัด,2/10/2561," 30,000,000 ",68102,ประกอบกิจการค้าและจัดสรรที่ดิน,79  ถนนนเรศ,แขวงสี่พระยา,เขตบางรัก,กรุงเทพมหานคร,10500
30,0105561171240,บจ.วิราสิริ จำกัด,3/10/2561," 30,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย เช่า ให้เช่า จัดหาซึ่งที่ดินหรืออสังหาริมทรัพย์อื่น,310/7  ถนนเจริญพัฒนา,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
31,0105561178309,บจ.แอมเบียนซ์ บีพี จำกัด,16/10/2561," 27,000,000 ",68102,ประกอบกิจการ ซื้อขาย ให้เช่า อสังหาริมทรัพย์ทุกชนิด,2024/185  ถนนริมทางรถไฟสายปากน้ำ,แขวงพระโขนง,เขตคลองเตย,กรุงเทพมหานคร,10110
32,0105561179585,บจ.แซคแอนด์ซี คอร์ปอเรชั่น จำกัด,17/10/2561," 25,500,000 ",68102,ประกอบกิจการซื้อขายให้เช่า อสังหาริมทรัพย์,668  หมู่ที่ 11 ซอยนพรัตน์,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
33,0105561175351,บจ.ไทย แวต รีฟันด์ จำกัด,10/10/2561," 25,000,000 ",52292,ประกอบกิจการเพื่อดำเนินการเป็นตัวแทนของผู้เดินทางออกไปนอกราชอาณาจักรในการขอคืนภาษีมูลค่าเพิ่มจากกรมสรรพากร,138/1  ถนนเพชรบุรี,แขวงถนนเพชรบุรี,เขตราชเทวี,กรุงเทพมหานคร,10400
34,0105561177671,บจ.เอสอี  ดิจิทัล จำกัด,12/10/2561," 25,000,000 ",64991,เป็นผู้ค้าคริปโทเคอร์เรนซี ผู้ค้าโทเคนดิจิทัล,287  อาคารลิเบอร์ตี้สแควร์ ชั้นที่ 19 ถนนสีลม,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
35,0105561177817,บจ.เจเคที โฮลดิ้งส์ จำกัด,12/10/2561," 21,000,000 ",64202,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด และเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทจำกัดมหาชนจำกัด,136/3  ซอยสุขุมวิท 20 ถนนสุขุมวิท,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,10110
36,0105561178678,บจ.เอชซีอี ไทย จำกัด,16/10/2561," 20,000,000 ",43210,ประกอบกิจการรับเหมาติดตั้ง ออกแบบ งานระบบไฟฟ้า ระบบท่อ ระบบประปา,235  ถนนรัชดาภิเษก (ท่าพระ-ตากสิน),แขวงบุคคโล,เขตธนบุรี,กรุงเทพมหานคร,10600
37,0105561171347,บจ.เกรทเตอร์ ฟาร์ม่า เวนเจอร์ จำกัด,3/10/2561," 20,000,000 ",72102,ประกอบกิจการ ผลิต จำหน่าย ทดลอง วิจัยและพัฒนาเกี่ยวกับไบโอเทคโนโลยี ทุกประเภท,46  ซอยจรัญสนิทวงศ์ 40,แขวงบางยี่ขัน,เขตบางพลัด,กรุงเทพมหานคร,10700
38,0105561173099,บจ.เทอร์เทิล 1 จำกัด,5/10/2561," 20,000,000 ",56101,ประกอบกิจการร้านอาหารและเครื่องดื่ม,21  ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต,แขวงจอมพล,เขตจตุจักร,กรุงเทพมหานคร,10900
39,0105561173111,บจ.เทอร์เทิล 3 จำกัด,5/10/2561," 20,000,000 ",56101,ประกอบกิจการร้านอาหารและเครื่องดื่ม,21  ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต,แขวงจอมพล,เขตจตุจักร,กรุงเทพมหานคร,10900
40,0105561173153,บจ.เทอร์เทิล 2 จำกัด,5/10/2561," 20,000,000 ",56101,ประกอบกิจการร้านอาหารและเครื่องดื่ม,21  ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต,แขวงจอมพล,เขตจตุจักร,กรุงเทพมหานคร,10900
41,0105561169156,บจ.โนว่า เอสเตท จำกัด,1/10/2561," 20,000,000 ",68102,ประกอบกิจการเกี่ยวกับอสังหาริมทรัพย์ทุกประเภท,75/38-39  อาคารโอเชี่ยนทาวเวอร์ 2 ชั้นที่ 21 ซอยสุขุมวิท 19 (วัฒนา) ถนนสุขุมวิท,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
42,0105561172092,บจ.อไลฟ์ รีแฮบบิลีเทชั่น จำกัด,4/10/2561," 20,000,000 ",86902,ประกอบธุรกิจให้บริการด้านสุขภาพบำบัด,54  ซอยสุขุมวิท 3 (นานาเหนือ),แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
43,0105561174788,บจ.กรู๊ฟ คอนโด รัชดา-พระรามเก้า จำกัด,9/10/2561," 20,000,000 ",68102,ประกอบกิจการพัฒนาอสังหาริมทรัพย์เพื่อขาย,725  อาคารเมโทรโพลิศ ชั้น 20 ถนนสุขุมวิท,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
44,0105561187430,บจ.อโยธยาบุรี จำกัด,31/10/2561," 20,000,000 ",47524,ประกอบกิจการขายวัสดุที่ใช้ในการก่อสร้าง เช่น ดิน ดินลูกรัง ทราย เป็นต้น,36/103-104  อาคารพี เอส ทาวเวอร์ ชั้นที่ 32 ถนนสุขุมวิท 21 (อโศก),แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
45,0105561178708,บจ.วี เอ พี เค เฮ้าส์ จำกัด,16/10/2561," 20,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อการพักอาศัย การจัดสรรที่ดินโดยไม่ได้พัฒนาที่ดิน,214  ซอยพระรามที่ 2 ซอย 33 ถนนพระรามที่ 2,แขวงบางมด,เขตจอมทอง,กรุงเทพมหานคร,10150
46,0105561171274,บจ.บางกอกยูนิเทรด โซลูชั่น แอนด์ เซอร์วิส จำกัด,3/10/2561," 20,000,000 ",46441,จำหน่ายเครื่องมือหรืออุปกรณ์ทางการแพทย์ภายในประเทศและส่งออกไปยังต่างประเทศ,1266  ถนนศรีนครินทร์,แขวงสวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,10250
47,0105561169318,บจ.เอจี ทองหล่อ12 จำกัด,1/10/2561," 20,000,000 ",68102,ประกอบธุรกิจพัฒนา จัดสรรที่ดิน อสังหาริมทรัพย์ ซื้อ ขาย ให้เช่า ที่ดิน อาคาร สิ่งปลูกสร้าง ทุกประเภท,4345  อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้นที่ 18 ถนนสุขุมวิท,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,10260
48,0105561171622,บจ.ประเสริฐวิทย์ก่อสร้าง จำกัด,4/10/2561," 20,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง ตามกฎหมาย,587  ถนนสุทธิสาร,แขวงรัชดาภิเษก,เขตดินแดง,กรุงเทพมหานคร,10400
49,0105561170499,บจ.เดอะ แวร์เฮ้าส์ จำกัด,2/10/2561," 20,000,000 ",68201,ประกอบกิจการเป็นตัวแทนนายหน้า ซื้อ ขาย ให้เช่า อสังหาริมทรัพย์,48/19  ถนนเชื่อมสัมพันธ์,แขวงกระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,10530
50,0105561180737,บจ.กราวด์ สปาย ไลท์ จำกัด,19/10/2561," 18,000,000 ",77309,ประกอบกิจการให้เช่าเครื่องจักร เครื่องยนต์ เครื่องมือกล เครื่องทุ่นแรง ยานพาหนะ เครื่องกำเนิดไฟฟ้า และเครื่องใช้ไฟฟ้า ตู้เย็น เครื่องปรับอากาส พัดลม,339/1  ถนนพระราม 9 ซอย 11,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,10310
51,0105561180249,บจ.วิช เจมส์ จำกัด,18/10/2561," 15,000,000 ",47732,ค้าทอง นาก เงิน ทองรูปพรรณ,7  ซอยพระรามที่ 2 ซอย 62 แยก 1-12,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
52,0105561185259,บจ.มิซูโน เอแพค (ประเทศไทย) จำกัด,26/10/2561," 15,000,000 ",47630,ประกอบธุรกิจค้าปลีกและค้าส่งสินค้าประเภทอะไหล่และอุปกรณ์เสริมเกี่ยวกับเครื่องกีฬา,989  อาคารสยามพิวรรธน์ทาวเวอร์ ชั้นที่ 27  ห้องเลขที่ ยูนิต เอ1-เอ2 ถนนพระราม 1,แขวงปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,10330
53,0105561180613,บจ.เจเอชดี ยิม247 (ประเทศไทย) จำกัด,18/10/2561," 14,350,000 ",93112,ประกอบกิจการเปิดให้บริการสถานที่ออกกำลังกาย และบริหารร่างกาย รับปรึกษา ให้คำแนะนำวิธีการออกกำลังกาย และบริหารร่างกาย,87/1  อาคารแคปปิตอล ทาวเวอร์ ออล ซีซั่นส์ เพลส ชั้นที่ 16 ยูนิต 1604-6 ถนนวิทยุ,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
54,0105561176055,บจ.ยูโรเปี้ยน แอนด์ โกลบอล คอนเนคชั่นส์ จำกัด,10/10/2561," 13,000,000 ",56101,ประกอบกิจการร้านจำหน่ายอาหารและเครื่องดื่ม,135/31  ถนนเทิดราชัน,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
55,0105561172254,บจ.433 กรุ๊ป จำกัด,5/10/2561," 10,000,000 ",68103,ให้บริการที่พักอาศัยและอสังหาริมทรัพย์,1/14  ซอยสุขุมวิท 10 ถนนสุขุมวิท,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,10110
56,0105561179518,บจ.คาเวีย (ไทยแลนด์) จำกัด,17/10/2561," 10,000,000 ",55101,ประกอบกิจการโรงแรม ร้านอาหาร,12  อาคารโรงแรม คอมพาส สกายวิว  (ชั้น 35) ซอยสุขุมวิท 24 ถนนสุขุมวิท,แขวงคลองตัน,เขตคลองเตย,กรุงเทพมหานคร,10110
57,0105561185801,บจ.แพพที (ไทยแลนด์) จำกัด,29/10/2561," 10,000,000 ",46693,จัดซื้อ นำเข้า ออกแบบ พัฒนา ผลิต รับจ้างทำของ ประกอบ ผสม สังเคราะห์ ตรวจสอบ  การบริการลูกค้า และงานที่เกี่ยวข้องกับชิ้นส่วนพลาสติก ยางสงเคราะห์,55  อาคารไบโอเฮ้าส์ ชั้นที่ 6 ซอยสุขุมวิท 39 ถนนสุขุมวิท,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
58,0105561180168,บจ.เอเซีย เอสไอที จำกัด,18/10/2561," 10,000,000 ",46510,ประกอบกิจการจำหน่ายและให้บริการติดตั้งและซ่อมบำรุงอุปกรณ์คอมพิวเตอร์ซอฟแวร์คุมสต๊อกกล้องวงจรปิด,71  อาคารเอจีอาร์ ถนนเจริญราษฎร์,แขวงบางโคล่,เขตบางคอแหลม,กรุงเทพมหานคร,10120
59,0105561186824,บจ.ซีซั่น ฮง (ประเทศไทย) จำกัด,30/10/2561," 10,000,000 ",46101,ประกอบกิจการนำเข้า ส่งออก ผลผลิตทางการเกษตร,19  ซอยแฉล้มนิมิตร 5 แยก 4,แขวงบางโคล่,เขตบางคอแหลม,กรุงเทพมหานคร,10120
60,0105561176292,บจ.ยูไนเต็ด โมลด์ เบส จำกัด,11/10/2561," 10,000,000 ",46593,ประกอบกิจการจำหน่ายแบบพิมพ์งานชิ้นส่วนอุตสาหกรรม และออกแบบผลิตภัณฑ์ชิ้นส่วนงานอุตสาหกรรม,619/2  ถนนพระรามที่ 2,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
61,0105561187090,บจ.จักรเพชรเภสัช จำกัด,31/10/2561," 10,000,000 ",47721,การขายปลีกยารักษาโรค,524-526  ถนนจักรเพชร,แขวงวังบูรพาภิรมย์,เขตพระนคร,กรุงเทพมหานคร,10200
62,0105561171754,บจ.ซันบีม เอ็นเนอร์ยี่ จำกัด,4/10/2561," 10,000,000 ",71102,ให้บริการวิศวกรรมและเทคนิค ออกแบบ ติดตั้ง ตรวจสอบ และควบคุม เครื่องจักร เครื่องมือ อุปกรณ์ที่ใช้ในระบบพลังงานไฟฟ้า,39/148  ซอยวิภาวดีรังสิต 84 ถนนวิภาวดีรังสิต,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
63,0105561179623,บจ.เจเจพี พัฒนา จำกัด,17/10/2561," 10,000,000 ",68102,ประกอบกิจการซื้อและให้เช่าอสังหาริมทรัพย์,6/999  ซอยพหลโยธิน 52,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
64,0105561185682,บจ.แพทเทิร์น เอ คอนซัลแต้นซ์ จำกัด,29/10/2561," 10,000,000 ",68201,ประกอบกิจการพัฒนาอสังหาริมทรัพย์ เพื่อเป็นนายหน้า ตัวแทน ขาย โอน จำนอง และบริหารจัดการพื้นที่,45  ซอยรามอินทรา 52/1,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
65,0105561183752,บจ.ไนน์ อีเกิล อินโนเวชั่น จำกัด,24/10/2561," 10,000,000 ",62022,กิจกรรมการให้คำปรึกษาทางด้านซอฟต์แวร์,33/4  ถนนพระราม 9,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,10310
66,0105561176721,บจ.เวเลอร์ ฮอสพิทอลลิตี้ พาร์ทเนอร์ส เอเซีย จำกัด,11/10/2561," 10,000,000 ",82110,ประกอบธุรกิจรับบริหารและเป็นที่ปรึกษาในด้านต่างๆ สำหรับธุรกิจโรงแรม รีสอร์ท และอสังหาริมทรัพย์ประเภทอื่นๆที่เกี่ยวข้องกับอุตสาหกรรมบริการ,183  อาคารรีเจ้นท์ เฮ้าส์ ชั้น 13 ถนนราชดำริ,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
67,0105561183680,บจ.ดีเอสดี เรียลตี้ จำกัด,24/10/2561," 10,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย ให้เช่า ปรับปรุง ก่อสร้างและออกแบบอสังหาริมทรัพย์ทุกชนิด,919/300-301  อาคารจิวเวลรี่ เทรด เซ็นเตอร์ 1 อาคารเหนือ ชั้นที่ 23 ถนนสีลม,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
68,0105561186557,บจ.ซีโฮป อินเฟอร์เมชั่น เทคโนโลยี (ไทยแลนด์) จำกัด,30/10/2561," 10,000,000 ",62022,ให้บริการแนะนำ ปรึกษา วางระบบ พัฒนาเทคโนโลยีคอมพิวเตอร์และสารสนเทศ,491/13  ถนนสีลม,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
69,0105561181890,บจ.ปันปรีดา เวชกรรม จำกัด,19/10/2561," 7,000,000 ",86101,ประกอบกิจการสถานพยาบาลรักษาคนไข้ ผู้เจ็บป่วย รวมถึงบุคคลทั่วไป,2  ซอยพหลโยธิน 11 ถนนพหลโยธิน,แขวงสามเสนใน,เขตพญาไท,กรุงเทพมหานคร,10400
70,0105561173081,บจ.สนุก เคป็อป จำกัด,5/10/2561," 6,000,000 ",56101,ประกอบกิจการร้านอาหาร ร้านเกม และสถานบันเทิง รวมถึงให้บริการพัฒนาซอฟแวร์ และเกมทุกประเภท,689  อาคารภิรัชทาวเวอร์แอ๊ดเอ็มควอเทียร์ ชั้นที่ 30  ห้องเลขที่ 3058 ถนนสุขุมวิท,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
71,0105561176179,บจ.วัน ลัมพ์ ซัม จำกัด,10/10/2561," 6,000,000 ",46109,การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,196/14  ถนนประดิพัทธ์,แขวงพญาไท,เขตพญาไท,กรุงเทพมหานคร,10400
